day_of_demand,sku,Daily_Demand,is_promotion
2024-03-06,SKU_1,147,0
2024-03-07,SKU_1,152,1
2024-03-08,SKU_1,162,0
2024-03-09,SKU_1,158,1
2024-03-10,SKU_1,172,1
2024-03-11,SKU_1,140,0
2024-03-12,SKU_1,137,0
2024-03-13,SKU_1,150,1
2024-03-14,SKU_1,138,0
2024-03-15,SKU_1,146,0
2024-03-16,SKU_1,149,1
2024-03-17,SKU_1,142,1
2024-03-18,SKU_1,138,1
2024-03-19,SKU_1,147,0
2024-03-20,SKU_1,131,0
2024-03-21,SKU_1,143,0
2024-03-22,SKU_1,140,0
2024-03-23,SKU_1,147,1
2024-03-24,SKU_1,177,1
2024-03-25,SKU_1,156,1
2024-03-26,SKU_1,163,1
2024-03-27,SKU_1,145,0
2024-03-28,SKU_1,155,0
2024-03-29,SKU_1,156,0
2024-03-30,SKU_1,177,1
2024-03-31,SKU_1,143,0
2024-04-01,SKU_1,174,1
2024-04-02,SKU_1,156,1
2024-04-03,SKU_1,146,1
2024-04-04,SKU_1,157,0
2024-04-05,SKU_1,159,1
2024-04-06,SKU_1,139,0
2024-04-07,SKU_1,167,1
2024-04-08,SKU_1,182,1
2024-04-09,SKU_1,160,0
2024-04-10,SKU_1,154,0
2024-04-11,SKU_1,183,1
2024-04-12,SKU_1,154,1
2024-04-13,SKU_1,135,0
2024-04-14,SKU_1,144,0
2024-04-15,SKU_1,139,1
2024-04-16,SKU_1,143,0
2024-04-17,SKU_1,133,0
2024-04-18,SKU_1,150,0
2024-04-19,SKU_1,143,0
2024-04-20,SKU_1,138,0
2024-04-21,SKU_1,152,0
2024-04-22,SKU_1,142,0
2024-04-23,SKU_1,149,1
2024-04-24,SKU_1,160,1
2024-04-25,SKU_1,157,0
2024-04-26,SKU_1,155,0
2024-04-27,SKU_1,166,0
2024-04-28,SKU_1,138,0
2024-04-29,SKU_1,148,0
2024-04-30,SKU_1,156,1
2024-05-01,SKU_1,157,1
2024-05-02,SKU_1,161,0
2024-05-03,SKU_1,151,1
2024-05-04,SKU_1,149,1
2024-05-05,SKU_1,148,1
2024-05-06,SKU_1,148,1
2024-05-07,SKU_1,139,1
2024-05-08,SKU_1,138,0
2024-05-09,SKU_1,127,0
2024-05-10,SKU_1,155,1
2024-05-11,SKU_1,148,1
2024-05-12,SKU_1,135,0
2024-05-13,SKU_1,121,0
2024-05-14,SKU_1,140,1
2024-05-15,SKU_1,119,0
2024-05-16,SKU_1,131,0
2024-05-17,SKU_1,133,0
2024-05-18,SKU_1,119,0
2024-05-19,SKU_1,119,0
2024-05-20,SKU_1,135,0
2024-05-21,SKU_1,113,0
2024-05-22,SKU_1,131,0
2024-05-23,SKU_1,130,1
2024-05-24,SKU_1,130,0
2024-05-25,SKU_1,123,0
2024-05-26,SKU_1,155,0
2024-05-27,SKU_1,146,0
2024-05-28,SKU_1,143,0
2024-05-29,SKU_1,137,1
2024-05-30,SKU_1,110,0
2024-05-31,SKU_1,140,0
2024-06-01,SKU_1,121,0
2024-06-02,SKU_1,117,0
2024-06-03,SKU_1,149,1
2024-06-04,SKU_1,123,1
2024-06-05,SKU_1,109,0
2024-06-06,SKU_1,144,0
2024-06-07,SKU_1,114,0
2024-06-08,SKU_1,126,1
2024-06-09,SKU_1,125,0
2024-06-10,SKU_1,115,0
2024-06-11,SKU_1,106,1
2024-06-12,SKU_1,116,1
2024-06-13,SKU_1,135,1
2024-06-14,SKU_1,145,1
2024-06-15,SKU_1,105,1
2024-06-16,SKU_1,106,0
2024-06-17,SKU_1,101,1
2024-06-18,SKU_1,113,0
2024-06-19,SKU_1,107,0
2024-06-20,SKU_1,114,0
2024-06-21,SKU_1,111,0
2024-06-22,SKU_1,118,1
2024-06-23,SKU_1,109,1
2024-06-24,SKU_1,118,0
2024-06-25,SKU_1,97,0
2024-06-26,SKU_1,100,0
2024-06-27,SKU_1,101,1
2024-06-28,SKU_1,112,0
2024-06-29,SKU_1,120,0
2024-06-30,SKU_1,82,0
2024-07-01,SKU_1,124,1
2024-07-02,SKU_1,78,0
2024-07-03,SKU_1,98,1
2024-07-04,SKU_1,106,0
2024-07-05,SKU_1,111,1
2024-07-06,SKU_1,84,1
2024-07-07,SKU_1,89,0
2024-07-08,SKU_1,110,0
2024-07-09,SKU_1,74,0
2024-07-10,SKU_1,80,1
2024-07-11,SKU_1,83,1
2024-07-12,SKU_1,86,0
2024-07-13,SKU_1,105,1
2024-07-14,SKU_1,95,0
2024-07-15,SKU_1,103,0
2024-07-16,SKU_1,78,0
2024-07-17,SKU_1,95,1
2024-07-18,SKU_1,96,1
2024-07-19,SKU_1,108,1
2024-07-20,SKU_1,97,1
2024-07-21,SKU_1,81,1
2024-07-22,SKU_1,72,1
2024-07-23,SKU_1,113,1
2024-07-24,SKU_1,81,0
2024-07-25,SKU_1,89,1
2024-07-26,SKU_1,74,0
2024-07-27,SKU_1,81,0
2024-07-28,SKU_1,89,0
2024-07-29,SKU_1,75,1
2024-07-30,SKU_1,98,0
2024-07-31,SKU_1,60,0
2024-08-01,SKU_1,65,0
2024-08-02,SKU_1,67,0
2024-08-03,SKU_1,86,1
2024-08-04,SKU_1,72,0
2024-08-05,SKU_1,85,1
2024-08-06,SKU_1,67,0
2024-08-07,SKU_1,61,0
2024-08-08,SKU_1,64,0
2024-08-09,SKU_1,63,0
2024-08-10,SKU_1,59,1
2024-08-11,SKU_1,48,0
2024-08-12,SKU_1,47,0
2024-08-13,SKU_1,70,0
2024-08-14,SKU_1,80,1
2024-08-15,SKU_1,57,0
2024-08-16,SKU_1,60,1
2024-08-17,SKU_1,49,1
2024-08-18,SKU_1,80,1
2024-08-19,SKU_1,68,0
2024-08-20,SKU_1,74,0
2024-08-21,SKU_1,69,0
2024-08-22,SKU_1,47,0
2024-08-23,SKU_1,58,1
2024-08-24,SKU_1,64,0
2024-08-25,SKU_1,85,0
2024-08-26,SKU_1,57,0
2024-08-27,SKU_1,68,0
2024-08-28,SKU_1,43,0
2024-08-29,SKU_1,67,0
2024-08-30,SKU_1,52,0
2024-08-31,SKU_1,89,1
2024-09-01,SKU_1,63,0
2024-09-02,SKU_1,73,1
2024-09-03,SKU_1,73,0
2024-09-04,SKU_1,63,1
2024-09-05,SKU_1,44,0
2024-09-06,SKU_1,64,0
2024-09-07,SKU_1,65,1
2024-09-08,SKU_1,44,0
2024-09-09,SKU_1,60,1
2024-09-10,SKU_1,48,0
2024-09-11,SKU_1,53,0
2024-09-12,SKU_1,45,0
2024-09-13,SKU_1,45,0
2024-09-14,SKU_1,65,1
2024-09-15,SKU_1,28,1
2024-09-16,SKU_1,52,1
2024-09-17,SKU_1,31,1
2024-09-18,SKU_1,43,0
2024-09-19,SKU_1,69,1
2024-09-20,SKU_1,52,0
2024-09-21,SKU_1,44,1
2024-09-22,SKU_1,47,0
2024-09-23,SKU_1,56,0
2024-09-24,SKU_1,71,0
2024-09-25,SKU_1,71,1
2024-09-26,SKU_1,58,1
2024-09-27,SKU_1,33,0
2024-09-28,SKU_1,38,0
2024-09-29,SKU_1,33,0
2024-09-30,SKU_1,46,0
2024-10-01,SKU_1,47,1
2024-10-02,SKU_1,48,1
2024-10-03,SKU_1,72,0
2024-10-04,SKU_1,40,1
2024-10-05,SKU_1,64,1
2024-10-06,SKU_1,41,0
2024-10-07,SKU_1,50,1
2024-10-08,SKU_1,54,0
2024-10-09,SKU_1,50,0
2024-10-10,SKU_1,33,0
2024-10-11,SKU_1,60,0
2024-10-12,SKU_1,47,1
2024-10-13,SKU_1,69,0
2024-10-14,SKU_1,55,0
2024-10-15,SKU_1,39,1
2024-10-16,SKU_1,50,0
2024-10-17,SKU_1,50,0
2024-10-18,SKU_1,29,1
2024-10-19,SKU_1,39,1
2024-10-20,SKU_1,39,0
2024-10-21,SKU_1,56,1
2024-10-22,SKU_1,44,0
2024-10-23,SKU_1,46,1
2024-10-24,SKU_1,64,0
2024-10-25,SKU_1,46,0
2024-10-26,SKU_1,57,0
2024-10-27,SKU_1,76,0
2024-10-28,SKU_1,60,0
2024-10-29,SKU_1,66,0
2024-10-30,SKU_1,48,1
2024-10-31,SKU_1,61,0
2024-11-01,SKU_1,74,1
2024-11-02,SKU_1,62,1
2024-11-03,SKU_1,66,0
2024-11-04,SKU_1,67,0
2024-11-05,SKU_1,43,1
2024-11-06,SKU_1,66,0
2024-11-07,SKU_1,53,0
2024-11-08,SKU_1,90,1
2024-11-09,SKU_1,68,1
2024-11-10,SKU_1,58,1
2024-11-11,SKU_1,58,0
2024-11-12,SKU_1,62,1
2024-11-13,SKU_1,59,1
2024-11-14,SKU_1,67,0
2024-11-15,SKU_1,79,1
2024-11-16,SKU_1,73,1
2024-11-17,SKU_1,62,1
2024-11-18,SKU_1,70,1
2024-11-19,SKU_1,63,1
2024-11-20,SKU_1,65,1
2024-11-21,SKU_1,80,1
2024-11-22,SKU_1,70,1
2024-11-23,SKU_1,80,0
2024-11-24,SKU_1,68,1
2024-11-25,SKU_1,83,1
2024-11-26,SKU_1,80,1
2024-11-27,SKU_1,71,1
2024-11-28,SKU_1,69,0
2024-11-29,SKU_1,59,0
2024-11-30,SKU_1,49,0
2024-12-01,SKU_1,95,1
2024-12-02,SKU_1,80,1
2024-12-03,SKU_1,89,0
2024-12-04,SKU_1,78,1
2024-12-05,SKU_1,67,0
2024-12-06,SKU_1,81,0
2024-12-07,SKU_1,83,1
2024-12-08,SKU_1,99,0
2024-12-09,SKU_1,92,0
2024-12-10,SKU_1,97,1
2024-12-11,SKU_1,74,0
2024-12-12,SKU_1,94,1
2024-12-13,SKU_1,79,0
2024-12-14,SKU_1,114,0
2024-12-15,SKU_1,96,0
2024-12-16,SKU_1,90,0
2024-12-17,SKU_1,83,0
2024-12-18,SKU_1,67,0
2024-12-19,SKU_1,83,1
2024-12-20,SKU_1,101,1
2024-12-21,SKU_1,99,0
2024-12-22,SKU_1,84,0
2024-12-23,SKU_1,96,0
2024-12-24,SKU_1,94,0
2024-12-25,SKU_1,78,0
2024-12-26,SKU_1,86,0
2024-12-27,SKU_1,102,0
2024-12-28,SKU_1,101,1
2024-12-29,SKU_1,101,1
2024-12-30,SKU_1,95,0
2024-01-01,SKU_10,111,1
2024-01-02,SKU_10,112,0
2024-01-03,SKU_10,109,0
2024-01-04,SKU_10,87,0
2024-01-05,SKU_10,100,1
2024-01-06,SKU_10,112,0
2024-01-07,SKU_10,86,0
2024-01-08,SKU_10,111,0
2024-01-09,SKU_10,99,0
2024-01-10,SKU_10,103,1
2024-01-11,SKU_10,98,0
2024-01-12,SKU_10,108,1
2024-01-13,SKU_10,112,0
2024-01-14,SKU_10,121,0
2024-01-15,SKU_10,112,0
2024-01-16,SKU_10,120,1
2024-01-17,SKU_10,118,1
2024-01-18,SKU_10,119,1
2024-01-19,SKU_10,114,0
2024-01-20,SKU_10,127,1
2024-01-21,SKU_10,117,1
2024-01-22,SKU_10,127,1
2024-01-23,SKU_10,116,0
2024-01-24,SKU_10,123,1
2024-01-25,SKU_10,123,0
2024-01-26,SKU_10,110,0
2024-01-27,SKU_10,111,0
2024-01-28,SKU_10,134,0
2024-01-29,SKU_10,133,1
2024-01-30,SKU_10,107,0
2024-01-31,SKU_10,121,1
2024-02-01,SKU_10,133,1
2024-02-02,SKU_10,122,0
2024-02-03,SKU_10,118,1
2024-02-04,SKU_10,115,0
2024-02-05,SKU_10,145,1
2024-02-06,SKU_10,140,0
2024-02-07,SKU_10,132,0
2024-02-08,SKU_10,129,0
2024-02-09,SKU_10,136,0
2024-02-10,SKU_10,145,0
2024-02-11,SKU_10,119,0
2024-02-12,SKU_10,114,1
2024-02-13,SKU_10,122,0
2024-02-14,SKU_10,113,0
2024-02-15,SKU_10,159,0
2024-02-16,SKU_10,128,0
2024-02-17,SKU_10,139,1
2024-02-18,SKU_10,139,0
2024-02-19,SKU_10,157,1
2024-02-20,SKU_10,143,1
2024-02-21,SKU_10,132,1
2024-02-22,SKU_10,128,0
2024-02-23,SKU_10,139,0
2024-02-24,SKU_10,140,1
2024-02-25,SKU_10,133,1
2024-02-26,SKU_10,152,0
2024-02-27,SKU_10,169,1
2024-02-28,SKU_10,152,0
2024-02-29,SKU_10,146,1
2024-03-01,SKU_10,148,0
2024-03-02,SKU_10,145,0
2024-03-03,SKU_10,140,1
2024-03-04,SKU_10,140,0
2024-03-05,SKU_10,159,1
2024-03-06,SKU_10,155,0
2024-03-07,SKU_10,134,1
2024-03-08,SKU_10,152,1
2024-03-09,SKU_10,141,0
2024-03-10,SKU_10,161,1
2024-03-11,SKU_10,121,0
2024-03-12,SKU_10,142,0
2024-03-13,SKU_10,163,1
2024-03-14,SKU_10,157,0
2024-03-15,SKU_10,142,0
2024-03-16,SKU_10,149,0
2024-03-17,SKU_10,151,0
2024-03-18,SKU_10,149,0
2024-03-19,SKU_10,170,1
2024-03-20,SKU_10,146,0
2024-03-21,SKU_10,150,0
2024-03-22,SKU_10,142,1
2024-03-23,SKU_10,125,0
2024-03-24,SKU_10,162,1
2024-03-25,SKU_10,163,1
2024-03-26,SKU_10,149,1
2024-03-27,SKU_10,151,0
2024-03-28,SKU_10,181,1
2024-03-29,SKU_10,161,0
2024-03-30,SKU_10,132,1
2024-03-31,SKU_10,204,1
2024-04-01,SKU_10,160,0
2024-04-02,SKU_10,165,1
2024-04-03,SKU_10,150,0
2024-04-04,SKU_10,187,1
2024-04-05,SKU_10,132,0
2024-04-06,SKU_10,183,1
2024-04-07,SKU_10,150,1
2024-04-08,SKU_10,156,1
2024-04-09,SKU_10,131,0
2024-04-10,SKU_10,161,0
2024-04-11,SKU_10,153,0
2024-04-12,SKU_10,143,1
2024-04-13,SKU_10,146,1
2024-04-14,SKU_10,157,1
2024-04-15,SKU_10,150,0
2024-04-16,SKU_10,149,0
2024-04-17,SKU_10,142,1
2024-04-18,SKU_10,164,1
2024-04-19,SKU_10,135,0
2024-04-20,SKU_10,152,1
2024-04-21,SKU_10,156,0
2024-04-22,SKU_10,142,0
2024-04-23,SKU_10,137,0
2024-04-24,SKU_10,169,0
2024-04-25,SKU_10,175,1
2024-04-26,SKU_10,124,0
2024-04-27,SKU_10,154,0
2024-04-28,SKU_10,150,0
2024-04-29,SKU_10,127,1
2024-04-30,SKU_10,142,0
2024-05-01,SKU_10,153,1
2024-05-02,SKU_10,141,1
2024-05-03,SKU_10,111,0
2024-05-04,SKU_10,132,0
2024-05-05,SKU_10,145,0
2024-05-06,SKU_10,133,0
2024-05-07,SKU_10,122,0
2024-05-08,SKU_10,129,1
2024-05-09,SKU_10,153,0
2024-05-10,SKU_10,133,0
2024-05-11,SKU_10,131,0
2024-05-12,SKU_10,154,1
2024-05-13,SKU_10,115,0
2024-05-14,SKU_10,134,0
2024-05-15,SKU_10,137,0
2024-05-16,SKU_10,142,0
2024-05-17,SKU_10,117,0
2024-05-18,SKU_10,128,0
2024-05-19,SKU_10,126,1
2024-05-20,SKU_10,150,1
2024-05-21,SKU_10,113,0
2024-05-22,SKU_10,137,0
2024-05-23,SKU_10,120,0
2024-05-24,SKU_10,125,0
2024-05-25,SKU_10,131,0
2024-05-26,SKU_10,141,1
2024-05-27,SKU_10,121,0
2024-05-28,SKU_10,116,1
2024-05-29,SKU_10,138,1
2024-05-30,SKU_10,154,1
2024-05-31,SKU_10,113,0
2024-06-01,SKU_10,139,0
2024-06-02,SKU_10,134,0
2024-06-03,SKU_10,140,1
2024-06-04,SKU_10,120,0
2024-06-05,SKU_10,113,0
2024-06-06,SKU_10,145,1
2024-06-07,SKU_10,127,1
2024-06-08,SKU_10,114,0
2024-06-09,SKU_10,119,0
2024-06-10,SKU_10,117,0
2024-06-11,SKU_10,128,0
2024-06-12,SKU_10,107,0
2024-06-13,SKU_10,120,1
2024-06-14,SKU_10,113,0
2024-06-15,SKU_10,116,0
2024-06-16,SKU_10,118,1
2024-06-17,SKU_10,114,1
2024-06-18,SKU_10,95,0
2024-06-19,SKU_10,105,0
2024-06-20,SKU_10,92,0
2024-06-21,SKU_10,124,1
2024-06-22,SKU_10,113,0
2024-06-23,SKU_10,125,1
2024-06-24,SKU_10,101,1
2024-06-25,SKU_10,95,0
2024-06-26,SKU_10,114,0
2024-06-27,SKU_10,96,0
2024-06-28,SKU_10,97,1
2024-06-29,SKU_10,96,0
2024-06-30,SKU_10,97,0
2024-07-01,SKU_10,93,0
2024-07-02,SKU_10,77,0
2024-07-03,SKU_10,78,1
2024-07-04,SKU_10,99,1
2024-07-05,SKU_10,96,1
2024-07-06,SKU_10,97,1
2024-07-07,SKU_10,76,0
2024-07-08,SKU_10,104,0
2024-07-09,SKU_10,85,1
2024-07-10,SKU_10,93,1
2024-07-11,SKU_10,84,0
2024-07-12,SKU_10,90,0
2024-07-13,SKU_10,106,0
2024-07-14,SKU_10,91,0
2024-07-15,SKU_10,75,0
2024-07-16,SKU_10,87,1
2024-07-17,SKU_10,97,0
2024-07-18,SKU_10,75,1
2024-07-19,SKU_10,68,0
2024-07-20,SKU_10,104,1
2024-07-21,SKU_10,87,0
2024-07-22,SKU_10,89,0
2024-07-23,SKU_10,76,0
2024-07-24,SKU_10,69,0
2024-07-25,SKU_10,67,0
2024-07-26,SKU_10,75,0
2024-07-27,SKU_10,74,0
2024-07-28,SKU_10,80,1
2024-07-29,SKU_10,96,1
2024-07-30,SKU_10,64,0
2024-07-31,SKU_10,90,1
2024-08-01,SKU_10,97,1
2024-08-02,SKU_10,75,1
2024-08-03,SKU_10,75,1
2024-08-04,SKU_10,64,0
2024-08-05,SKU_10,93,1
2024-08-06,SKU_10,73,1
2024-08-07,SKU_10,81,0
2024-08-08,SKU_10,67,1
2024-08-09,SKU_10,58,0
2024-08-10,SKU_10,52,1
2024-08-11,SKU_10,79,1
2024-08-12,SKU_10,74,0
2024-08-13,SKU_10,69,1
2024-08-14,SKU_10,56,1
2024-08-15,SKU_10,45,0
2024-08-16,SKU_10,49,0
2024-08-17,SKU_10,75,1
2024-08-18,SKU_10,62,0
2024-08-19,SKU_10,70,0
2024-08-20,SKU_10,62,0
2024-08-21,SKU_10,68,1
2024-08-22,SKU_10,64,0
2024-08-23,SKU_10,50,1
2024-08-24,SKU_10,60,1
2024-08-25,SKU_10,48,0
2024-08-26,SKU_10,41,0
2024-08-27,SKU_10,77,0
2024-08-28,SKU_10,49,0
2024-08-29,SKU_10,48,1
2024-08-30,SKU_10,56,1
2024-08-31,SKU_10,65,0
2024-09-01,SKU_10,54,0
2024-09-02,SKU_10,72,0
2024-09-03,SKU_10,55,1
2024-09-04,SKU_10,57,0
2024-09-05,SKU_10,50,0
2024-09-06,SKU_10,49,0
2024-09-07,SKU_10,47,0
2024-09-08,SKU_10,52,0
2024-09-09,SKU_10,52,1
2024-09-10,SKU_10,47,0
2024-09-11,SKU_10,75,0
2024-09-12,SKU_10,63,1
2024-09-13,SKU_10,59,0
2024-09-14,SKU_10,55,0
2024-09-15,SKU_10,27,1
2024-09-16,SKU_10,54,1
2024-09-17,SKU_10,35,0
2024-09-18,SKU_10,33,1
2024-09-19,SKU_10,61,1
2024-09-20,SKU_10,37,0
2024-09-21,SKU_10,58,1
2024-09-22,SKU_10,58,0
2024-09-23,SKU_10,42,0
2024-09-24,SKU_10,47,1
2024-09-25,SKU_10,33,0
2024-09-26,SKU_10,40,1
2024-09-27,SKU_10,43,0
2024-09-28,SKU_10,50,0
2024-09-29,SKU_10,46,1
2024-09-30,SKU_10,59,0
2024-10-01,SKU_10,64,1
2024-10-02,SKU_10,64,1
2024-10-03,SKU_10,33,1
2024-10-04,SKU_10,46,0
2024-10-05,SKU_10,39,0
2024-10-06,SKU_10,27,1
2024-10-07,SKU_10,31,1
2024-10-08,SKU_10,47,1
2024-10-09,SKU_10,31,1
2024-10-10,SKU_10,39,1
2024-10-11,SKU_10,40,0
2024-10-12,SKU_10,44,0
2024-10-13,SKU_10,61,1
2024-10-14,SKU_10,41,0
2024-10-15,SKU_10,70,1
2024-10-16,SKU_10,43,0
2024-10-17,SKU_10,55,1
2024-10-18,SKU_10,33,1
2024-10-19,SKU_10,43,0
2024-10-20,SKU_10,56,0
2024-10-21,SKU_10,45,0
2024-10-22,SKU_10,64,1
2024-10-23,SKU_10,60,0
2024-10-24,SKU_10,35,0
2024-10-25,SKU_10,36,0
2024-10-26,SKU_10,60,0
2024-10-27,SKU_10,71,0
2024-10-28,SKU_10,43,1
2024-10-29,SKU_10,53,0
2024-10-30,SKU_10,48,0
2024-10-31,SKU_10,68,1
2024-11-01,SKU_10,39,0
2024-11-02,SKU_10,56,0
2024-11-03,SKU_10,53,0
2024-11-04,SKU_10,63,1
2024-11-05,SKU_10,79,1
2024-11-06,SKU_10,67,0
2024-11-07,SKU_10,63,1
2024-11-08,SKU_10,60,1
2024-11-09,SKU_10,75,1
2024-11-10,SKU_10,59,1
2024-11-11,SKU_10,60,0
2024-11-12,SKU_10,72,1
2024-11-13,SKU_10,71,1
2024-11-14,SKU_10,61,0
2024-11-15,SKU_10,85,1
2024-11-16,SKU_10,64,0
2024-11-17,SKU_10,49,1
2024-11-18,SKU_10,59,0
2024-11-19,SKU_10,76,1
2024-11-20,SKU_10,66,0
2024-11-21,SKU_10,82,0
2024-11-22,SKU_10,63,1
2024-11-23,SKU_10,69,0
2024-11-24,SKU_10,83,0
2024-11-25,SKU_10,70,0
2024-11-26,SKU_10,74,1
2024-11-27,SKU_10,59,0
2024-11-28,SKU_10,68,1
2024-11-29,SKU_10,72,1
2024-11-30,SKU_10,92,1
2024-12-01,SKU_10,78,0
2024-12-02,SKU_10,95,1
2024-12-03,SKU_10,72,1
2024-12-04,SKU_10,82,1
2024-12-05,SKU_10,104,1
2024-12-06,SKU_10,88,0
2024-12-07,SKU_10,83,1
2024-12-08,SKU_10,80,0
2024-12-09,SKU_10,104,1
2024-12-10,SKU_10,82,0
2024-12-11,SKU_10,80,0
2024-12-12,SKU_10,74,0
2024-12-13,SKU_10,106,1
2024-12-14,SKU_10,109,1
2024-12-15,SKU_10,83,1
2024-12-16,SKU_10,84,1
2024-12-17,SKU_10,84,0
2024-12-18,SKU_10,93,1
2024-12-19,SKU_10,88,0
2024-12-20,SKU_10,93,0
2024-12-21,SKU_10,98,1
2024-12-22,SKU_10,93,0
2024-12-23,SKU_10,84,0
2024-12-24,SKU_10,92,0
2024-12-25,SKU_10,108,1
2024-12-26,SKU_10,94,1
2024-12-27,SKU_10,74,0
2024-12-28,SKU_10,96,1
2024-12-29,SKU_10,113,1
2024-12-30,SKU_10,116,1
2024-01-01,SKU_11,90,0
2024-01-02,SKU_11,96,0
2024-01-03,SKU_11,113,0
2024-01-04,SKU_11,104,1
2024-01-05,SKU_11,92,0
2024-01-06,SKU_11,88,0
2024-01-07,SKU_11,107,1
2024-01-08,SKU_11,85,0
2024-01-09,SKU_11,113,0
2024-01-10,SKU_11,79,0
2024-01-11,SKU_11,112,0
2024-01-12,SKU_11,105,1
2024-01-13,SKU_11,111,0
2024-01-14,SKU_11,107,0
2024-01-15,SKU_11,105,1
2024-01-16,SKU_11,113,0
2024-01-17,SKU_11,119,0
2024-01-18,SKU_11,126,0
2024-01-19,SKU_11,113,1
2024-01-20,SKU_11,111,0
2024-01-21,SKU_11,140,1
2024-01-22,SKU_11,107,0
2024-01-23,SKU_11,116,1
2024-01-24,SKU_11,122,0
2024-01-25,SKU_11,133,1
2024-01-26,SKU_11,145,1
2024-01-27,SKU_11,101,0
2024-01-28,SKU_11,133,1
2024-01-29,SKU_11,113,0
2024-01-30,SKU_11,136,1
2024-01-31,SKU_11,139,1
2024-02-01,SKU_11,120,1
2024-02-02,SKU_11,151,0
2024-02-03,SKU_11,122,0
2024-02-04,SKU_11,107,0
2024-02-05,SKU_11,111,1
2024-02-06,SKU_11,113,0
2024-02-07,SKU_11,134,0
2024-02-08,SKU_11,110,0
2024-02-09,SKU_11,147,1
2024-02-10,SKU_11,127,0
2024-02-11,SKU_11,131,1
2024-02-12,SKU_11,140,0
2024-02-13,SKU_11,137,1
2024-02-14,SKU_11,119,1
2024-02-15,SKU_11,136,0
2024-02-16,SKU_11,143,1
2024-02-17,SKU_11,139,0
2024-02-18,SKU_11,145,0
2024-02-19,SKU_11,128,0
2024-02-20,SKU_11,139,0
2024-02-21,SKU_11,142,0
2024-02-22,SKU_11,124,1
2024-02-23,SKU_11,134,0
2024-02-24,SKU_11,161,1
2024-02-25,SKU_11,142,0
2024-02-26,SKU_11,143,0
2024-02-27,SKU_11,138,0
2024-02-28,SKU_11,126,0
2024-02-29,SKU_11,148,1
2024-03-01,SKU_11,125,1
2024-03-02,SKU_11,134,0
2024-03-03,SKU_11,146,0
2024-03-04,SKU_11,134,0
2024-03-05,SKU_11,143,0
2024-03-06,SKU_11,143,0
2024-03-07,SKU_11,164,1
2024-03-08,SKU_11,157,1
2024-03-09,SKU_11,144,1
2024-03-10,SKU_11,144,1
2024-03-11,SKU_11,150,1
2024-03-12,SKU_11,144,0
2024-03-13,SKU_11,159,1
2024-03-14,SKU_11,168,1
2024-03-15,SKU_11,170,1
2024-03-16,SKU_11,169,1
2024-03-17,SKU_11,172,1
2024-03-18,SKU_11,157,0
2024-03-19,SKU_11,170,1
2024-03-20,SKU_11,155,1
2024-03-21,SKU_11,135,0
2024-03-22,SKU_11,162,1
2024-03-23,SKU_11,155,1
2024-03-24,SKU_11,144,0
2024-03-25,SKU_11,179,1
2024-03-26,SKU_11,159,1
2024-03-27,SKU_11,132,0
2024-03-28,SKU_11,138,1
2024-03-29,SKU_11,151,1
2024-03-30,SKU_11,137,0
